lead_id,user_id,first_name,last_name,company,email,industry,company_size,source,stage,created_date,converted_date,loss_reason
led_00058,usr_0341,Tracy,Barr,Myers Solutions Ltd,whitelucas@walker.com,E-commerce,500+,inbound,converted,2026-03-16,2026-04-06,
led_00059,,Brandon,Russell,Sullivan-Ellis,kimberly01@brown-harrison.com,E-commerce,51-200,inbound,demo_booked,2025-08-30,,not_ready
led_00060,usr_0292,Diana,Romero,Noble and Sons,bbryant@forbes.com,Education Tech,201-500,linkedin,converted,2026-02-13,2026-03-17,
led_00061,usr_0017,Tina,Singh,Anderson Analytics Group,karroyo@rose-obrien.com,Logistics,201-500,linkedin,converted,2025-12-24,2026-01-10,
led_00062,usr_0045,Peter,Alvarez,Ortega-Gray,christinaturner@bass.org,E-commerce,11-50,inbound,converted,2025-09-20,2025-10-05,
led_00063,usr_0418,Jack,Bryant,Christensen-Martin,frances20@mueller.com,Real Estate Tech,11-50,cold_email,converted,2025-06-26,2025-07-29,
led_00064,,Randy,Michael,"Hinton, Ellis and Martin",clee@hess-thompson.net,Healthcare Tech,1-10,cold_email,demo_booked,2026-02-19,,chose_competitor
led_00065,usr_0376,Patricia,Townsend,Bruce-Pittman,kellyruiz@green.com,SaaS / Software,11-50,linkedin,converted,2025-08-26,2025-09-23,
led_00066,usr_0391,Catherine,Vang,Wilson-Rodriguez,chelseastrickland@dudley.com,Cybersecurity,51-200,cold_email,converted,2026-02-20,2026-04-08,
led_00067,,James,Donaldson,Knight Group,matthew91@frey.org,Cybersecurity,11-50,referral,qualified,2026-02-12,,no_response
led_00068,usr_0447,Anthony,Parsons,Sanders Tech,batesmelanie@sutton.com,Logistics,1-10,cold_email,converted,2025-09-01,2025-10-26,
led_00069,,Michael,Graham,Robbins Group,barbaravance@robinson.com,Marketing / AdTech,51-200,linkedin,qualified,2025-09-20,,chose_competitor
led_00070,,Luis,Schultz,Johnson and Sons,osanders@gregory-guzman.net,Fintech,11-50,linkedin,demo_booked,2026-04-12,,no_show
led_00071,usr_0179,Julie,Terrell,"Reed, Brown and Daniels",melissa25@walker.com,E-commerce,201-500,paid_ad,converted,2026-02-08,2026-02-21,
led_00072,,Daniel,Wright,Lynch-Wilson,debbiehernandez@conner.com,Cybersecurity,11-50,cold_email,demo_booked,2025-07-30,,not_ready
led_00073,,Jessica,Hernandez,Wyatt-Navarro,peter68@hernandez-tran.org,Education Tech,11-50,inbound,qualified,2025-12-09,,chose_competitor
led_00074,usr_0105,Timothy,Weaver,Smith-Grimes,lozanojulie@parsons-hall.com,HR Tech,11-50,linkedin,converted,2025-10-21,2025-12-01,
led_00075,,Natalie,King,Wilson Ltd,joshua07@smith.com,HR Tech,51-200,cold_email,demo_booked,2025-03-17,,no_show
led_00076,,Shirley,Schwartz,"Johnson, Simpson and Garcia",davidmichael@aguirre-harris.com,Marketing / AdTech,51-200,cold_call,demo_booked,2025-08-21,,chose_competitor
led_00077,,Danielle,Owens,"Delacruz, Leach and Aguirre",kristy03@montgomery.com,E-commerce,500+,cold_email,qualified,2026-01-16,,chose_competitor
led_00078,usr_0196,Kathleen,Mayer,Stone-Hernandez,markaustin@long.com,HR Tech,11-50,referral,converted,2025-06-29,2025-07-21,
led_00079,,Sabrina,Johnson,Bradley and Sons,adrian18@morgan.org,HR Tech,11-50,inbound,demo_booked,2025-07-20,,chose_competitor
led_00080,,Robert,Ray,Montgomery Group,pwilkinson@mathews.org,Education Tech,51-200,linkedin,qualified,2026-01-29,,wrong_icp
led_00081,,Michael,Martin,"Owens, Lopez and Jacobs",timothypatrick@jacobs.info,Cybersecurity,1-10,linkedin,qualified,2025-04-02,,no_response
led_00082,,James,Farrell,King-Jones,april92@berry-chavez.com,Cybersecurity,11-50,cold_email,qualified,2025-09-29,,wrong_icp
led_00083,,Diana,Armstrong,Peck LLC,scott70@briggs.com,Fintech,51-200,cold_email,qualified,2025-11-21,,no_response
led_00084,,Richard,Woods,Wood Inc,jennifer08@rice-johnson.info,Marketing / AdTech,51-200,linkedin,demo_booked,2026-03-27,,not_ready
led_00085,,Christopher,Beck,Campbell PLC,peter04@vasquez.com,Logistics,51-200,inbound,demo_booked,2026-03-04,,chose_competitor
led_00086,,Danielle,Reynolds,Fuentes-Roman,wberry@gibson.com,Real Estate Tech,11-50,cold_email,qualified,2025-07-07,,budget_constraint
led_00087,,Stephanie,Esparza,"Hicks, Rodriguez and Allen",steven64@cowan.org,Cybersecurity,1-10,paid_ad,qualified,2025-08-19,,budget_constraint
led_00088,,Jeffrey,Anderson,Hansen-Byrd,ronald81@baker.biz,Cybersecurity,51-200,inbound,qualified,2026-04-14,,budget_constraint
led_00089,,Brian,Hall,Choi-Palmer,bthompson@benson.com,Education Tech,51-200,inbound,new,2025-07-08,,wrong_icp
led_00090,usr_0221,Lisa,Mckinney,Chavez Ventures Ltd,dbryant@ford.biz,HR Tech,500+,cold_email,converted,2025-12-31,2026-02-19,
led_00091,,Jaclyn,Cole,"Lee, Brooks and Robertson",fullermark@wiggins.com,Education Tech,11-50,cold_email,qualified,2026-04-05,,chose_competitor
led_00092,usr_0375,Shelly,Rodgers,Cabrera Digital Inc,jessica38@glover.net,SaaS / Software,1-10,paid_ad,converted,2025-05-19,2025-05-23,
led_00093,,Erin,Rhodes,Walker Ltd,huntsheila@smith.com,Real Estate Tech,11-50,referral,demo_booked,2025-04-21,,not_ready
led_00094,,Amy,Alvarado,Daugherty-Snyder,briandyer@harris.com,Fintech,1-10,cold_email,demo_booked,2025-11-16,,no_show
led_00095,,Douglas,Duncan,"Larson, Murphy and Durham",lopezmichele@wilson-harris.org,Healthcare Tech,1-10,linkedin,qualified,2025-11-24,,no_response
led_00096,usr_0434,Deborah,Wilson,"Richards, Haynes and Jones",robertsgina@miller.biz,Marketing / AdTech,1-10,linkedin,converted,2025-06-01,2025-07-03,
led_00097,,Elizabeth,Smith,"Bernard, Hardy and Reyes",rothjustin@chambers.info,Healthcare Tech,1-10,cold_email,demo_booked,2026-02-07,,not_ready
led_00098,,Sylvia,Cox,"Bryant, Mills and Contreras",danielle43@mcintosh-salazar.org,HR Tech,11-50,inbound,qualified,2025-07-19,,budget_constraint
led_00099,usr_0225,Angel,Clark,Haney Group,jessicawalker@avila.info,E-commerce,11-50,linkedin,converted,2025-11-29,2025-12-28,
led_00100,usr_0429,John,Hoffman,"Lang, Griffin and Williams",lukemiller@jackson.net,Healthcare Tech,500+,linkedin,converted,2025-12-04,2026-01-18,
led_00101,,Mary,Cuevas,Sanchez Group,janegarcia@lewis.com,HR Tech,51-200,linkedin,qualified,2025-05-02,,budget_constraint
led_00102,,James,Cole,Woodard Group,john18@griffith.com,E-commerce,51-200,cold_email,qualified,2025-04-29,,no_response
led_00103,,Connor,Wright,Stewart-Walker,aaronscott@garcia.com,Fintech,11-50,inbound,demo_booked,2026-01-31,,not_ready
led_00104,,Tina,Clarke,"Herrera, King and Burke",laura00@baker.com,Cybersecurity,1-10,cold_email,qualified,2025-09-13,,budget_constraint
led_00105,,Angela,Sullivan,Myers-Myers,kevin25@casey.com,HR Tech,1-10,referral,demo_booked,2026-01-23,,chose_competitor
led_00106,usr_0356,Thomas,Hall,Flores-Acosta,millerangela@nguyen.com,Cybersecurity,1-10,linkedin,converted,2025-08-14,2025-09-04,
led_00107,,Michelle,Garrett,Hall-Lowe,eugenesanchez@davis-galloway.com,Marketing / AdTech,1-10,cold_email,demo_booked,2025-11-11,,budget_constraint
led_00108,,Debbie,Garza,Graham-Obrien,john70@barnes-spence.info,Real Estate Tech,1-10,cold_call,new,2025-11-24,,wrong_icp
led_00109,,Hayley,Rangel,White Ltd,kriley@rivera-campbell.com,Real Estate Tech,1-10,cold_email,new,2025-04-04,,duplicate
led_00110,,Cassandra,Castillo,"English, Wise and Smith",jasminerogers@ward-lee.com,Marketing / AdTech,11-50,cold_email,demo_booked,2025-08-28,,budget_constraint
led_00111,,Robert,Roberson,Nelson Ltd,xgardner@stevens-williams.biz,Cybersecurity,11-50,cold_email,qualified,2025-12-04,,wrong_icp
led_00112,usr_0079,Dustin,Ward,Moore Cloud Group,andreamoore@hayes-wheeler.com,Real Estate Tech,51-200,cold_email,converted,2025-11-07,2025-12-11,
led_00113,,Melinda,Smith,"Wilson, Bailey and Berg",pwilson@wright.com,Cybersecurity,1-10,inbound,qualified,2025-09-06,,budget_constraint
led_00114,,Latasha,Smith,Walton-Moss,pachecojoshua@petersen.com,SaaS / Software,201-500,cold_email,qualified,2025-04-25,,wrong_icp
led_00115,usr_0049,Anthony,Mullen,Douglas Inc,osbornejeffery@holmes.com,Cybersecurity,201-500,cold_call,converted,2025-10-18,2025-10-30,
led_00116,,Robin,Fowler,Gutierrez Ltd,wendy14@garcia.org,Real Estate Tech,11-50,linkedin,qualified,2025-05-03,,chose_competitor
led_00117,,Grant,Riley,Rasmussen and Sons,jameslucas@preston.com,Real Estate Tech,11-50,inbound,demo_booked,2025-12-04,,budget_constraint
led_00118,,Laura,Byrd,Morales PLC,rjohnson@kelly-moody.com,Real Estate Tech,11-50,cold_email,new,2025-06-22,,wrong_icp
led_00119,,David,Moore,Osborne LLC,gonzalesannette@jordan.org,SaaS / Software,51-200,linkedin,demo_booked,2025-10-28,,budget_constraint
led_00120,usr_0384,Juan,Martin,"Lee, Rhodes and Sims",jeremywiley@anderson-reyes.org,SaaS / Software,1-10,linkedin,converted,2026-03-09,2026-03-23,
led_00121,,Jeffrey,Allen,Bowers-Robinson,thomasclark@jones.com,Real Estate Tech,51-200,inbound,new,2025-11-14,,wrong_icp
led_00122,usr_0035,Brian,Ruiz,Figueroa PLC,hhoffman@landry.com,Healthcare Tech,500+,inbound,converted,2025-11-07,2025-11-11,
led_00123,,Fernando,Smith,Rowland-Bailey,limichael@mahoney-munoz.info,HR Tech,51-200,cold_email,qualified,2025-10-17,,chose_competitor
led_00124,usr_0192,Michele,Davis,Mitchell Tech,booneryan@luna-gallagher.com,SaaS / Software,11-50,paid_ad,converted,2025-11-29,2025-12-10,
led_00125,,Kayla,Reilly,Higgins and Sons,carlosjones@smith.info,Marketing / AdTech,201-500,inbound,new,2025-08-02,,wrong_icp
led_00126,,Kimberly,Ellis,Hunt and Sons,harold52@harris-arnold.net,Education Tech,500+,cold_call,qualified,2025-09-10,,chose_competitor
led_00127,,Travis,Gallegos,Lindsey-Lane,murphydavid@walker.com,Logistics,500+,inbound,qualified,2026-04-02,,budget_constraint
led_00128,usr_0205,Timothy,Becker,Roberts Digital Ltd,stephanie15@douglas-burgess.com,Healthcare Tech,51-200,cold_email,converted,2026-01-01,2026-02-04,
led_00129,usr_0149,Danielle,Johnson,Collins AI,vschneider@santiago.net,SaaS / Software,500+,linkedin,converted,2025-10-01,2025-10-22,
led_00130,,Dana,Delgado,Oneal Group,simpsonemily@lopez.org,Logistics,500+,linkedin,qualified,2026-01-04,,chose_competitor
led_00131,,Jonathan,Padilla,King Ltd,gregoryburgess@bird.com,SaaS / Software,51-200,cold_email,new,2025-07-15,,duplicate
led_00132,usr_0260,Angela,Martin,Le Group,stephentaylor@rush.org,Education Tech,51-200,cold_email,converted,2025-05-14,2025-07-07,
led_00133,usr_0052,Jennifer,Burke,Cannon Labs,rsims@jones-mitchell.com,E-commerce,11-50,linkedin,converted,2025-08-10,2025-09-18,
led_00134,,Tommy,Rhodes,Hunter Inc,youngjose@atkins.info,E-commerce,11-50,linkedin,demo_booked,2025-08-25,,no_show
led_00135,,Brenda,Griffin,"Harrison, Collier and Henderson",christophergarcia@jones.com,Fintech,11-50,inbound,new,2025-10-29,,wrong_icp
led_00136,usr_0143,Michael,Davis,Gilbert AI,jford@huang.com,E-commerce,11-50,inbound,converted,2025-04-09,2025-04-26,
led_00137,usr_0198,Sandra,Wilson,Parker Solutions Group,carlsonjoseph@patton.com,E-commerce,11-50,cold_email,converted,2025-03-20,2025-04-21,
led_00138,,Gary,Stewart,Reyes LLC,joyce12@carter.biz,Fintech,1-10,cold_email,demo_booked,2026-01-28,,not_ready
led_00139,,Rodney,Russell,Baker-Mason,natalie66@lewis-bennett.biz,HR Tech,51-200,linkedin,qualified,2025-08-03,,no_response
led_00140,,Jessica,Williams,Sullivan LLC,tmedina@aguirre.com,HR Tech,51-200,inbound,demo_booked,2026-04-07,,budget_constraint
led_00141,usr_0103,Veronica,Price,Huerta-Evans,dvaughn@gonzalez-cruz.info,Healthcare Tech,11-50,cold_email,converted,2025-08-11,2025-09-12,
led_00142,,Patrick,Alvarez,Garcia-Owens,nathanzuniga@combs.info,HR Tech,1-10,linkedin,demo_booked,2025-10-14,,chose_competitor
led_00143,,Jonathan,Brooks,Blackburn and Sons,bcook@guerra-johnson.com,E-commerce,500+,linkedin,new,2025-07-03,,duplicate
led_00144,,Amanda,Garner,Fernandez-Wright,morganwalter@kim-huber.org,Education Tech,11-50,linkedin,qualified,2025-08-11,,chose_competitor
led_00145,,Joshua,Esparza,Burns-Abbott,garzajasmine@aguilar.com,Real Estate Tech,1-10,linkedin,demo_booked,2026-02-05,,not_ready
led_00146,usr_0218,Daniel,Hill,Brooks Solutions Ltd,ztodd@petersen.org,SaaS / Software,11-50,referral,converted,2026-02-23,2026-03-17,
led_00147,usr_0336,Nancy,Williams,Robinson Analytics Ltd,nsmith@drake.com,Fintech,201-500,cold_call,converted,2026-02-18,2026-03-08,
led_00148,,Natalie,Williams,"Richards, Case and Chang",ycampbell@nixon-pittman.com,SaaS / Software,500+,linkedin,demo_booked,2026-01-23,,chose_competitor
led_00149,,Holly,Duran,Johnson LLC,shelly16@perez.com,Cybersecurity,201-500,inbound,demo_booked,2026-03-09,,budget_constraint
led_00150,,Dana,Gonzales,Woods-Campos,shelley83@norris-rivera.com,Logistics,51-200,linkedin,qualified,2026-04-11,,wrong_icp
led_00151,usr_0437,Mary,Phillips,Martinez Inc,fmedina@clark-figueroa.com,SaaS / Software,1-10,paid_ad,converted,2025-04-08,2025-04-20,
led_00152,usr_0327,Gregory,Vega,Gonzalez Solutions Inc,flamb@martinez-dunlap.com,Real Estate Tech,51-200,referral,converted,2025-12-23,2026-01-15,
led_00153,,Charles,Chambers,"Bass, Mcconnell and Gibbs",cannondominique@garcia.org,Healthcare Tech,51-200,referral,demo_booked,2025-09-04,,budget_constraint
led_00154,usr_0367,Kayla,Owens,Burns AI,ethompson@arnold.com,Healthcare Tech,1-10,cold_email,converted,2025-08-07,2025-09-26,
led_00155,,Grace,Wade,Johnson-Stewart,barbaraespinoza@whitney.net,SaaS / Software,11-50,referral,qualified,2025-09-09,,budget_constraint
led_00156,,Briana,Steele,Snyder LLC,wallnicole@mcclain.com,E-commerce,11-50,inbound,demo_booked,2025-10-30,,no_show
led_00157,usr_0390,Paul,Mills,Fisher-Garcia,cindy26@hunt.com,Real Estate Tech,51-200,cold_email,converted,2026-03-17,2026-04-12,
led_00158,,Heidi,Miller,Clark PLC,orogers@ball-jackson.biz,Logistics,1-10,linkedin,demo_booked,2025-04-16,,not_ready
led_00159,,Clinton,Mills,Hoover-Dorsey,mitchelloneill@case-meyers.info,Real Estate Tech,51-200,referral,qualified,2026-02-09,,wrong_icp
led_00160,,Kelsey,Howard,Hurst Group,ifischer@reyes.org,Real Estate Tech,11-50,cold_email,demo_booked,2025-05-23,,no_show
led_00161,,Sydney,Rodriguez,"Lopez, Gordon and Anderson",coryschultz@estrada.com,Marketing / AdTech,1-10,linkedin,demo_booked,2025-05-12,,chose_competitor
led_00162,,Jason,Miller,Cole-Olson,grosshannah@jones.com,Healthcare Tech,51-200,cold_email,demo_booked,2025-06-20,,no_show
led_00163,usr_0385,Robert,Miller,Torres Solutions Group,colonkenneth@bryant-meyer.net,Fintech,11-50,cold_call,converted,2025-11-25,2025-12-15,
led_00164,,Scott,Vasquez,"James, Lewis and James",courtneymonroe@johnson.net,E-commerce,201-500,cold_email,demo_booked,2025-06-20,,no_show
led_00165,usr_0362,Sarah,Hart,Turner Analytics Group,uschroeder@daniel-jacobs.com,SaaS / Software,11-50,cold_call,converted,2025-04-26,2025-05-27,
led_00166,usr_0039,Sandra,Potter,Adams Works,reyesbenjamin@walker-velasquez.info,HR Tech,11-50,cold_email,converted,2025-06-06,2025-07-03,
led_00167,usr_0451,Gary,Turner,"Thompson, Valdez and Diaz",blacknicholas@black.com,E-commerce,51-200,linkedin,converted,2026-03-31,2026-04-19,
led_00168,usr_0369,Frank,Diaz,Byrd Analytics Group,denise80@smith.org,Marketing / AdTech,500+,cold_email,converted,2025-12-25,2026-02-21,
led_00169,usr_0086,Joseph,Martin,Rivera Ltd,zroberts@johnson.com,Cybersecurity,11-50,cold_email,converted,2025-09-28,2025-10-25,
led_00170,usr_0495,Jon,Morales,Pena Analytics Inc,pparker@mitchell.com,Logistics,11-50,linkedin,converted,2025-11-23,2025-12-16,
led_00171,,Erik,Johnson,"Clark, Clark and Leonard",wanderson@wright.biz,Healthcare Tech,51-200,cold_email,new,2025-08-24,,no_response
led_00172,,Hunter,Cruz,King-Phillips,bhernandez@steele-roach.info,Marketing / AdTech,11-50,referral,new,2025-12-13,,duplicate
led_00173,usr_0060,Natalie,Dixon,Williams Ventures Inc,jeffrey10@herring.com,Real Estate Tech,1-10,cold_call,converted,2025-09-01,2025-09-29,
led_00174,usr_0028,Thomas,Rojas,"Miller, Lopez and Larson",richarddavid@sanchez.biz,Logistics,11-50,cold_call,converted,2025-04-28,2025-06-01,
led_00175,,Shelby,Hogan,Robinson-Benton,hubbardrichard@watson-moses.net,E-commerce,1-10,linkedin,qualified,2025-08-26,,budget_constraint
led_00176,,Shelly,Lee,Shaw-Ferguson,dcowan@gonzales-valencia.com,Healthcare Tech,201-500,paid_ad,qualified,2025-12-29,,budget_constraint
led_00177,usr_0346,Jamie,Brown,"Mcmahon, Spence and Morgan",bbush@martin.com,Marketing / AdTech,201-500,cold_email,converted,2025-07-15,2025-08-28,
led_00178,,Jeremy,Murphy,Randall LLC,sarahpratt@russell.com,Marketing / AdTech,1-10,paid_ad,demo_booked,2025-12-28,,budget_constraint
led_00179,,Christina,Huynh,Brown and Sons,zfrancis@lawson.com,E-commerce,11-50,cold_email,demo_booked,2025-11-22,,budget_constraint
led_00180,,Bobby,Bradford,"Thompson, Foster and Lara",heidi26@jones.com,Marketing / AdTech,11-50,cold_call,demo_booked,2025-04-04,,chose_competitor
led_00181,usr_0459,Andrew,Bautista,Harris PLC,mserrano@thompson.org,SaaS / Software,201-500,cold_call,converted,2025-11-12,2025-12-10,
led_00182,,Rebecca,Austin,Cunningham-Mcfarland,garciathomas@gonzalez-meyer.com,Real Estate Tech,1-10,linkedin,qualified,2026-03-23,,wrong_icp
led_00183,,Benjamin,Daugherty,Chen Inc,erica71@scott-norris.com,Cybersecurity,1-10,cold_email,demo_booked,2025-09-18,,no_show
led_00184,,Jennifer,Smith,"Schneider, Fisher and Silva",rogerpitts@castillo.biz,E-commerce,1-10,linkedin,demo_booked,2025-09-01,,budget_constraint
led_00185,usr_0233,Devin,Jones,Turner Ltd,lindamelendez@gutierrez.biz,Cybersecurity,1-10,linkedin,converted,2026-02-02,2026-02-27,
led_00186,,Hector,Marshall,Garcia-Spence,slewis@roberts.com,Education Tech,500+,cold_email,demo_booked,2025-05-21,,budget_constraint
